objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"¡De mudanzas!","37120","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632694","6.04303","6.44687","1.2711","2885","3644","thing","Pack & Stack","3","6","45","45","30","2009","3,4,5,6","4,6","6+","No necessary in-game text","","","","","","standalone","","HomoLudicus","Spanish","2009","Spanish edition"
"¡No Gracias!","12942","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638121","6.95368","7.08055","1.1311","546","44872","thing","No Thanks!","3","7","20","20","20","2004","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","Morapiaf","Portuguese; Spanish","2004","Morapiaf Spanish/Portuguese edition"
"1,2,3! Now you see me...","148494","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479729","5.5394","6.0503","1.3077","14441","422","thing","1,2,3! Now you see me...","2","8","15","15","15","2013","5,6,7,8","5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"10 Days in Europe","5867","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633916","6.02622","6.61113","1.3478","2964","2851","thing","10 Days in Europe","2","4","30","30","20","2007","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","Out of the Box Publishing","English","2007","English edition 2007"
"1830: Railways & Robber Barons","421","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54648323","7.1915","7.86434","4.1717","309","9138","thing","1830: Railways & Robber Barons","2","7","360","360","180","1986","3,4,5,6","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"1960: The Making of the President","27708","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58651188","7.17637","7.61782","3.2045","319","11451","thing","1960: The Making of the President","2","2","120","120","90","2007","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"20th Century","85036","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480242","6.09131","6.82524","2.9858","2648","2342","thing","20th Century","3","5","120","120","120","2010","3,4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","",""
"6 nimmt!","432","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638195","6.85438","6.98097","1.1901","672","48513","thing","Take 5","2","10","45","45","45","2011","3,4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2011","AMIGO German edition 2011 with QR code"
"7 Wonders","68448","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635973","7.5534","7.66567","2.3148","111","152471","thing","7 Wonders","2","7","30","30","30","2013","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","Repos Production","English","2013","Repos English R13 edition"
"7 Wonders Duel","173346","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481900","7.95714","8.08151","2.2273","21","177933","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"A la carte","217","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636445","6.05458","6.45734","1.2932","2833","4716","thing","A la carte","2","4","30","30","30","2010","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","Heidelberger Spieleverlag; Moskito Spiele","German","2010","German third edition 2010"
"Abluxxen","153065","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637022","6.55546","6.99713","1.3875","1166","10018","thing","Linko","2","5","20","20","20","2014","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Ravensburger","German","2014","German second edition"
"Above and Below","172818","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478998","7.0759","7.34685","2.5152","411","26892","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Acquire","5","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635647","7.12894","7.35432","2.4899","360","29431","thing","Acquire","2","6","90","90","90","1999","3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","Avalon Hill","English","1999","Avalon Hill (Hasbro) English large box edition"
"Adel Verpflichtet","120","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636627","6.19953","6.50906","1.8638","2192","8846","thing","Hoity Toity","2","5","45","45","45","1990","4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","F.X. Schmid","German","1990","F.X. Schmid German edition with SdJ"
"Adios Amigos","41658","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481376","5.64946","6.17495","1.1034","7325","989","thing","Adios Amigos","2","4","15","15","15","2009","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"AEG Black Friday Black Box","169814","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","50634804","5.58726","6.97565","2.5","0","575","thing","AEG Black Friday Black Box","2","6","45","45","20","2014","","","","","","","","","","standalone","","Alderac Entertainment Group","English","2014","English edition"
"Agricola","31260","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50626094","7.72897","7.86045","3.6351","62","89148","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Agricola (Revised Edition)","200680","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775727","7.64949","7.95708","3.4458","83","28306","thing","Agricola (Revised Edition)","1","4","120","120","30","2016","1,2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Agricola: Farmers of the Moor","43018","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53580819","7.31052","8.04867","3.5601","0","15390","thing","Agricola: Farmers of the Moor","1","5","200","200","100","2009","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Ahoy","20031","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479979","5.5271","5.94849","1.1111","16956","260","thing","Ahoy","2","5","30","30","30","2005","2,3,4","3","4+","No necessary in-game text","","","","","","standalone","","","","",""
"Airships","32116","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480170","5.96707","6.36156","1.8628","3307","3151","thing","Airships","2","4","60","60","45","2007","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Alhambra","6249","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480179","6.9068","7.03463","2.0986","606","44935","thing","Alhambra","2","6","60","60","45","2003","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Alquimistas","161970","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632923","7.39678","7.63644","3.9244","174","32913","thing","Alchemists","2","4","120","120","120","2015","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Devir","Portuguese","2015","Portuguese edition"
"Amerigo","137408","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51482284","6.91755","7.43494","2.9659","591","7950","thing","Amerigo","2","4","90","90","90","2013","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
