bgg_id,ano,rank,nome
224517,2018,1,Brass: Birmingham
342942,2021,2,Ark Nova
174430,2017,4,Gloomhaven
316554,2020,5,Dune: Imperium
233078,2017,6,Twilight Imperium: Fourth Edition
115746,2011,7,War of the Ring: Second Edition
397598,2023,8,Dune: Imperium – Uprising
167791,2016,9,Terraforming Mars
187645,2016,10,Star Wars: Rebellion
162886,2017,11,Spirit Island
291457,2020,12,Gloomhaven: Jaws of the Lion
220308,2017,13,Gaia Project
12333,2005,14,Twilight Struggle
84876,2011,15,The Castles of Burgundy
182028,2015,16,Through the Ages: A New Story of Civilization
193738,2016,17,Great Western Trail
28720,2007,20,Brass: Lancashire
173346,2015,21,7 Wonders Duel
169786,2016,22,Scythe
167355,2018,23,Nemesis
177736,2016,24,A Feast for Odin
418059,2024,25,SETI: Search for Extraterrestrial Intelligence
124361,2013,28,Concordia
421006,2024,29,The Lord of the Rings: Duel for Middle-earth
312484,2020,30,Lost Ruins of Arnak
205637,2016,32,Arkham Horror: The Card Game
237182,2018,33,Root
373106,2023,34,Sky Team
120677,2012,35,Terra Mystica
164928,2014,37,Orléans
266192,2019,38,Wingspan
96848,2011,39,Mage Knight Board Game
251247,2019,40,Barrage
199792,2018,41,Everdell
321608,2023,42,Hegemony: Lead Your Class to Victory
183394,2015,43,Viticulture Essential Edition
324856,2021,44,The Crew: Mission Deep Sea
521,1876,45,Crokinole
366013,2022,46,Heat: Pedal to the Metal
284378,2020,47,Kanban EV
285774,2019,48,Marvel Champions: The Card Game
175914,2015,49,Food Chain Magnate
247763,2018,50,Underwater Cities
256960,2019,51,Pax Pamir: Second Edition
3076,2002,53,Puerto Rico
383179,2023,54,Age of Innovation
184267,2020,55,On Mars
295947,2021,56,Cascadia
102794,2013,58,Caverna: The Cave Farmers
185343,2017,59,Anachrony
170216,2015,61,Blood Rage
31260,2007,62,Agricola
414317,2024,64,Harmonies
182874,2015,65,Grand Austria Hotel
161533,2017,67,Lisboa
255984,2021,69,Sleeping Gods
205059,2016,71,Mansions of Madness: Second Edition
126163,2012,72,Tzolk'in: The Mayan Calendar
2651,2004,73,Power Grid
216132,2017,74,Clans of Caledonia
244521,2018,76,The Quacks of Quedlinburg
371942,2023,77,The White Castle
266810,2019,78,Paladins of the West Kingdom
35677,2008,79,Le Havre
125153,2015,80,The Gallerist
164153,2014,81,Star Wars: Imperial Assault
124742,2012,82,Android: Netrunner
200680,2016,83,Agricola (Revised Edition)
276025,2019,84,Maracaibo
209010,2016,86,Mechs vs. Minions
284083,2019,88,The Crew: The Quest for Planet Nine
322289,2023,89,Darwin's Journey
28143,2007,90,Race for the Galaxy
332772,2022,91,Revive
230802,2017,92,Azul
157354,2014,93,Five Tribes: The Djinns of Naqala
201808,2016,96,Clank!: A Deck-Building Adventure
159675,2014,97,Fields of Arle
72125,2011,98,Eclipse: New Dawn for the Galaxy
93,1995,100,El Grande
191189,2016,101,Aeon's End
291453,2019,102,SCOUT
110327,2012,103,Lords of Waterdeep
359871,2024,105,Arcs
229853,2018,106,Teotihuacan: City of Gods
317985,2020,107,Beyond the Sun
62219,2010,108,Dominant Species
25613,2006,109,Through the Ages: A Story of Civilization
279537,2020,110,The Search for Planet X
68448,2010,111,7 Wonders
121921,2012,112,Robinson Crusoe: Adventures on the Cursed Island
171623,2015,113,The Voyages of Marco Polo
364073,2022,114,Splendor Duel
225694,2018,115,Decrypto
367966,2024,116,Endeavor: Deep Sea
163068,2015,117,Trickerion: Legends of Illusion
155821,2016,118,Inis
12,1999,119,Ra
37111,2008,120,Battlestar Galactica: The Board Game
217372,2017,121,The Quest for El Dorado
310873,2022,122,Carnegie
236457,2018,125,Architects of the West Kingdom
310100,2022,126,Nemesis: Lockdown
42,1997,128,Tigris & Euphrates
122515,2012,129,Keyflower
170042,2015,131,Raiders of the North Sea
40834,2009,132,Dominion: Intrigue
146021,2013,133,Eldritch Horror
18602,2005,134,Caylus
203993,2016,135,Lorenzo il Magnifico
73439,2010,136,Troyes
4098,2002,138,Age of Steam
172386,2015,140,Mombasa
163412,2014,141,Patchwork
36218,2008,142,Dominion
102680,2011,143,Trajan
218417,2017,144,Aeon's End: War Eternal
12493,2005,145,Twilight Imperium: Third Edition
43015,2009,146,Hansa Teutonica
144733,2013,147,Russian Railroads
396790,2023,148,Nucleum
413246,2024,149,Bomb Busters
175640,2016,150,Vinhos: Deluxe Edition
205896,2018,151,Rising Sun
196340,2016,152,Yokohama
254640,2018,154,Just One
175155,2015,155,Forbidden Stars
198928,2016,156,Iberia
233371,2017,157,Clank! In! Space!: A Deck-Building Adventure
178900,2015,159,Codenames
391163,2023,160,Forest Shuffle
172287,2015,161,Champions of Midgard
189932,2016,162,Tyrants of the Underdark
220877,2017,163,Rajas of the Ganges
30549,2008,165,Pandemic
132531,2014,166,Roll for the Galaxy
266524,2019,168,PARKS
118048,2012,169,Targi
147020,2014,170,Star Realms
14996,2005,173,Ticket to Ride: Europe
161970,2014,174,Alchemists
262712,2019,175,Res Arcana
263918,2019,176,Cartographers
268864,2019,177,Undaunted: Normandy
209418,2016,178,Dominion (Second Edition)
271324,2019,179,It's a Wonderful World
274364,2019,180,Watergate
77423,2011,182,The Lord of the Rings: The Card Game
34635,2008,183,Stone Age
281259,2019,184,The Isle of Cats
308765,2020,185,Praga Caput Regni
328871,2021,186,Terraforming Mars: Ares Expedition
148949,2014,187,Istanbul
294484,2020,188,Unmatched: Cobble & Fog
127023,2012,189,Kemet
82222,2014,190,Xia: Legends of a Drift System
2511,1981,191,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
265188,2019,193,Glen More II: Chronicles
296151,2020,194,Viscounts of the West Kingdom
146652,2014,195,Legendary Encounters: An Alien Deck Building Game
233398,2018,196,Endeavor: Age of Sail
283948,2019,197,Marco Polo II: In the Service of the Khan
244522,2018,198,Optimus
54043,2009,200,Jaipur
329082,2021,202,Radlands
233867,2018,204,Welcome To...
350184,2023,205,Earth
283355,2019,206,Dune
316377,2020,209,7 Wonders (Second Edition)
188920,2017,210,This War of Mine: The Board Game
43111,2009,211,Chaos in the Old World
9609,2004,212,War of the Ring
314491,2021,213,Meadow
10630,2004,215,Memoir '44
227224,2020,216,The Red Cathedral
118,1992,217,Modern Art
199561,2017,218,Sagrada
104162,2012,219,Descent: Journeys in the Dark (Second Edition)
25021,2011,221,Sekigahara: The Unification of Japan
39463,2008,222,Cosmic Encounter
155426,2014,224,Castles of Mad King Ludwig
300531,2020,225,Paleo
128882,2012,228,The Resistance: Avalon
103343,2011,230,A Game of Thrones: The Board Game (Second Edition)
