BGG-id,Title,Weight,Owner
173346,7 Wonders Duel,2.23,JogoNaMesa (Vasco)
135779,A Fake Artist Goes to New York,1.1,JogoNaMesa (Vasco)
177736,A Feast for Odin,3.86,JogoNaMesa (Vasco)
383179,Age of Innovation,4.26,JogoNaMesa (Vasco)
200680,Agricola (Revised Edition),3.45,JogoNaMesa (Vasco)
298635,Alice's Garden,1.43,JogoNaMesa (Vasco)
311193,Anno 1800: The Board Game,3.12,JogoNaMesa (Vasco)
236457,Architects of the West Kingdom,2.76,JogoNaMesa (Vasco)
256226,Azul: Stained Glass of Sintra,2.01,JogoNaMesa (Vasco)
287954,Azul: Summer Pavilion,2.07,JogoNaMesa (Vasco)
143741,BANG! The Dice Game,1.28,JogoNaMesa (Vasco)
219513,Bärenpark,1.66,JogoNaMesa (Vasco)
323612,Bitoku,3.76,JogoNaMesa (Vasco)
230244,Black Angel,3.87,JogoNaMesa (Vasco)
170216,Blood Rage,2.88,JogoNaMesa (Vasco)
140933,Blueprints,1.69,JogoNaMesa (Vasco)
366994,Bonsai,1.81,JogoNaMesa (Vasco)
398,Botswana,1.29,JogoNaMesa (Vasco)
28720,Brass: Lancashire,3.85,JogoNaMesa (Vasco)
249277,Brazil: Imperial,2.99,JogoNaMesa (Vasco)
337765,Brian Boru: High King of Ireland,2.56,JogoNaMesa (Vasco)
171499,Cacao,1.82,JogoNaMesa (Vasco)
338957,Caesar!: Seize Rome in 20 Minutes!,1.95,JogoNaMesa (Vasco)
283155,Calico,2.2,JogoNaMesa (Vasco)
260605,Camel Up (Second Edition),1.51,JogoNaMesa (Vasco)
41,Can't Stop,1.14,JogoNaMesa (Vasco)
328565,Caper: Europe,2.1,JogoNaMesa (Vasco)
171131,Captain Sonar,2.19,JogoNaMesa (Vasco)
310873,Carnegie,3.81,JogoNaMesa (Vasco)
245934,Carpe Diem,2.53,JogoNaMesa (Vasco)
263918,Cartographers,1.89,JogoNaMesa (Vasco)
270970,Century: A New World,2.12,JogoNaMesa (Vasco)
209685,Century: Spice Road,1.8,JogoNaMesa (Vasco)
38657,Cities,1.66,JogoNaMesa (Vasco)
216132,Clans of Caledonia,3.47,JogoNaMesa (Vasco)
274841,Cóatl,2.04,JogoNaMesa (Vasco)
11971,Cockroach Poker,1.1,JogoNaMesa (Vasco)
145639,Coconuts,1.04,JogoNaMesa (Vasco)
124361,Concordia,2.99,JogoNaMesa (Vasco)
39463,Cosmic Encounter,2.58,JogoNaMesa (Vasco)
429863,Covenant,3.69,JogoNaMesa (Vasco)
256570,Crown of Emara,3.05,JogoNaMesa (Vasco)
322289,Darwin's Journey,3.9,JogoNaMesa (Vasco)
169654,Deep Sea Adventure,1.18,JogoNaMesa (Vasco)
216497,District Noir,1.31,JogoNaMesa (Vasco)
39856,Dixit,1.19,JogoNaMesa (Vasco)
121288,Dixit: Journey,1.26,JogoNaMesa (Vasco)
215311,Downforce,1.73,JogoNaMesa (Vasco)
283355,Dune,3.98,JogoNaMesa (Vasco)
131366,Eight-Minute Empire,1.63,JogoNaMesa (Vasco)
93,El Grande,2.94,JogoNaMesa (Vasco)
206718,Ethnos,2.11,JogoNaMesa (Vasco)
199792,Everdell,2.83,JogoNaMesa (Vasco)
363307,Evergreen,2.14,JogoNaMesa (Vasco)
339753,Évora,2.43,JogoNaMesa (Vasco)
385761,Faraway,1.91,JogoNaMesa (Vasco)
157354,Five Tribes: The Djinns of Naqala,2.84,JogoNaMesa (Vasco)
336986,Flamecraft,2.19,JogoNaMesa (Vasco)
199478,Flamme Rouge,1.7,JogoNaMesa (Vasco)
391163,Forest Shuffle,2.2,JogoNaMesa (Vasco)
203430,Fuji Flush,1.1,JogoNaMesa (Vasco)
318084,Furnace,2.32,JogoNaMesa (Vasco)
220308,Gaia Project,4.4,JogoNaMesa (Vasco)
393333,Galileo Galilei,3.05,JogoNaMesa (Vasco)
30539,Get Bit!,1.12,JogoNaMesa (Vasco)
182874,Ghost Blitz,1.13,JogoNaMesa (Vasco)
193738,Grand Austria Hotel,3.2,JogoNaMesa (Vasco)
269144,Great Western Trail,3.69,JogoNaMesa (Vasco)
300322,Hadara,2.21,JogoNaMesa (Vasco)
321756,Hallertau,3.29,JogoNaMesa (Vasco)
158600,Hanabi,1.69,JogoNaMesa (Vasco)
194626,Hands Up,1.08,JogoNaMesa (Vasco)
366013,Harmonies,2.01,JogoNaMesa (Vasco)
8203,Hegemony: Lead Your Class to Victory,4.24,JogoNaMesa (Vasco)
120,Hive,2.31,JogoNaMesa (Vasco)
371972,Hoity Toity,1.86,JogoNaMesa (Vasco)
244995,Ierusalem: Anno Domini,3.11,JogoNaMesa (Vasco)
338760,Imhotep,2.01,JogoNaMesa (Vasco)
155821,Imperial Steam,4.21,JogoNaMesa (Vasco)
271088,Inis,2.94,JogoNaMesa (Vasco)
148949,Ishtar: Gardens of Babylon,2.27,JogoNaMesa (Vasco)
54043,It's a Wonderful World,2.33,JogoNaMesa (Vasco)
254640,Jungle Speed,1.13,JogoNaMesa (Vasco)
70323,Keyflower,3.33,JogoNaMesa (Vasco)
293141,King of Tokyo,1.49,JogoNaMesa (Vasco)
204583,King of Tokyo: Dark Edition,1.62,JogoNaMesa (Vasco)
348096,Kitchen Rush (Revised Edition),2.13,JogoNaMesa (Vasco)
165722,Kites,1.06,JogoNaMesa (Vasco)
348450,KLASK,1.05,JogoNaMesa (Vasco)
35677,Las Vegas,1.17,JogoNaMesa (Vasco)
368173,Le Havre,3.71,JogoNaMesa (Vasco)
275467,Let's Go! To Japan,2.24,JogoNaMesa (Vasco)
306173,Lisboa,4.57,JogoNaMesa (Vasco)
10251,Lisbon Tram 28,2.11,JogoNaMesa (Vasco)
328479,Living Forest,2.21,JogoNaMesa (Vasco)
770,Loot,1.38,JogoNaMesa (Vasco)
312484,Lost Ruins of Arnak,2.93,JogoNaMesa (Vasco)
317504,Mandala Stones,1.83,JogoNaMesa (Vasco)
276025,Maracaibo,3.91,JogoNaMesa (Vasco)
314491,Meadow,2.25,JogoNaMesa (Vasco)
346501,Mille Fiori,2.17,JogoNaMesa (Vasco)
366251,Mistwind,3.12,JogoNaMesa (Vasco)
118,Modern Art,2.28,JogoNaMesa (Vasco)
301767,Mysterium Park,1.44,JogoNaMesa (Vasco)
195421,Near and Far,2.89,JogoNaMesa (Vasco)
300877,New York Zoo,1.96,JogoNaMesa (Vasco)
293014,Nidavellir,2.12,JogoNaMesa (Vasco)
184267,On Mars,4.63,JogoNaMesa (Vasco)
160477,Onitama,1.66,JogoNaMesa (Vasco)
164928,Orléans,3.02,JogoNaMesa (Vasco)
266810,Paladins of the West Kingdom,3.71,JogoNaMesa (Vasco)
300531,Paleo,2.65,JogoNaMesa (Vasco)
276498,Paris: La Cité de la Lumière,2.01,JogoNaMesa (Vasco)
163412,Patchwork,1.6,JogoNaMesa (Vasco)
256960,Pax Pamir: Second Edition,3.85,JogoNaMesa (Vasco)
309728,Pessoa,2.7,JogoNaMesa (Vasco)
330592,Phantom Ink,1.17,JogoNaMesa (Vasco)
368017,Point City,1.67,JogoNaMesa (Vasco)
180974,Potion Explosion,1.78,JogoNaMesa (Vasco)
3076,Puerto Rico,3.27,JogoNaMesa (Vasco)
244521,Quacks of Quedlinburg,1.94,JogoNaMesa (Vasco)
12,Ra,2.31,JogoNaMesa (Vasco)
170042,Raiders of the North Sea,2.57,JogoNaMesa (Vasco)
220877,Rajas of the Ganges,2.9,JogoNaMesa (Vasco)
417197,Rebirth,1.95,JogoNaMesa (Vasco)
161417,Red7,1.7,JogoNaMesa (Vasco)
307002,Regicide,1.97,JogoNaMesa (Vasco)
332772,Revive,3.46,JogoNaMesa (Vasco)
402679,Rock Hard: 1977,2.49,JogoNaMesa (Vasco)
237182,Root,3.84,JogoNaMesa (Vasco)
199561,Sagrada,1.92,JogoNaMesa (Vasco)
169786,Scythe,3.45,JogoNaMesa (Vasco)
