Name,BGG ID,Owner
Covenant,429863,JogoNaMesa
Bomb Busters,413246,JogoNaMesa
Burg Appenzell,28089,JogoNaMesa
Empyreal: Spells &amp; Steam,220367,JogoNaMesa
Horrified: Dungeons &amp; Dragons,437705,JogoNaMesa
Men-Nefer,404431,JogoNaMesa
Rival Cities,433384,JogoNaMesa
Tower Up,393307,JogoNaMesa
Rock Hard: 1977,402679,JogoNaMesa
Race! Formula 90: 2nd Edition,349703,JogoNaMesa
Sabika,360265,JogoNaMesa
Herbaceous,195314,JogoNaMesa
World's Fair 1893,178336,JogoNaMesa
Excavation Earth,292126,JogoNaMesa
Castle Combo,416851,JogoNaMesa
Amalfi: Renaissance,351594,JogoNaMesa
Unconscious Mind,329500,JogoNaMesa
Vantage,420033,JogoNaMesa
The Fellowship of the Ring: Trick-Taking Game,429293,JogoNaMesa
Tussie Mussie,257614,JogoNaMesa
Fast Sloths,277597,JogoNaMesa
Shackleton Base: A Journey to the Moon,408180,JogoNaMesa
Rebirth,417197,JogoNaMesa
Whistle Mountain,301255,JogoNaMesa
Wondrous Creatures,400366,JogoNaMesa
Awkward Guests: The Walton Case,188866,JogoNaMesa
Inventors of the South Tigris,378387,JogoNaMesa
Asian Tigers: A Story of Prosperity,423632,JogoNaMesa
Air Mail,359234,JogoNaMesa
Let's Go! To Japan,368173,JogoNaMesa
Philosophia: Floating World,306202,JogoNaMesa
Stupor Mundi,392492,JogoNaMesa
Bullet♥︎,307305,JogoNaMesa
Era of Tribes,196354,JogoNaMesa
Arcs,359871,JogoNaMesa
Feierabend,310442,JogoNaMesa
Full Throttle!,344408,JogoNaMesa
Roam,267319,JogoNaMesa
Starship Interstellar,334827,JogoNaMesa
Evergreen,363307,JogoNaMesa
Mountain Goats,63975,JogoNaMesa
Coloma,264982,JogoNaMesa
Stroganov,323156,JogoNaMesa
The Ruhr: A Story of Coal Trade,226254,JogoNaMesa
The White Castle,371942,JogoNaMesa
Sleeping Gods,255984,JogoNaMesa
"Air, Land &amp; Sea",247367,JogoNaMesa
Fabled Fruit: The Lime Expansion,232000,JogoNaMesa
Fearsome Floors,7805,JogoNaMesa
Finished!,231999,JogoNaMesa
Mists over Carcassonne,358124,JogoNaMesa
Relic Runners,144270,JogoNaMesa
Spots,372559,JogoNaMesa
The 3 Commandments,38359,JogoNaMesa
Thunder Road: Vendetta,342070,JogoNaMesa
Fishing,419195,JogoNaMesa
Undergrove,376740,JogoNaMesa
Catherine: The Cities of the Tsarina,360951,JogoNaMesa
Ex Libris: Revised Edition,393000,JogoNaMesa
Fast Forward: FEAR,231664,JogoNaMesa
Fast Forward: FORTRESS,231665,JogoNaMesa
Gold West,154086,JogoNaMesa
Hermagor,25224,JogoNaMesa
Tekhenu: Obelisk of the Sun,297030,JogoNaMesa
Unexpected Treasures,4475,JogoNaMesa
Creature Comforts,304051,JogoNaMesa
It's Mine,180256,JogoNaMesa
Key Flow,252446,JogoNaMesa
Robin Hood and the Merry Men,232666,JogoNaMesa
Small Islands,236248,JogoNaMesa
Village Green,300583,JogoNaMesa
Ave Roma,184459,JogoNaMesa
Colonial: Europe's Empires Overseas,99392,JogoNaMesa
Galileo Galilei,393333,JogoNaMesa
Last Light,315727,JogoNaMesa
Squaring Circleville,292900,JogoNaMesa
Virtù,345377,JogoNaMesa
Dune: Imperium – Bloodlines,426129,JogoNaMesa
Phoenix New Horizon,419704,JogoNaMesa
Ukiyo,316085,JogoNaMesa
The Mole in the Hole,321,JogoNaMesa
Minos: Dawn of the Bronze Age,423401,JogoNaMesa
SETI: Search for Extraterrestrial Intelligence,418059,JogoNaMesa
Spicy,299169,JogoNaMesa
The Barracks Emperors,278685,JogoNaMesa
Friedrich,12891,JogoNaMesa
Tinners' Trail,35570,JogoNaMesa
District Noir,216497,JogoNaMesa
The Wolves,368058,JogoNaMesa
Wonder Woods,354729,JogoNaMesa
My Gold Mine,331571,JogoNaMesa
Subastral,333055,JogoNaMesa
Fairy Tile,220780,JogoNaMesa
